"pwhl_team_id","player_name","first_name","last_name","position_group","position_code","donor_team_id","roster_record","player_index","game_id","bio_record","donor_player","donor_position_code","jersey","line_assigned"
"BOS","Daniela Pejšová","Daniela","Pejšová","D","3","43","1032","5510","12499","4523","Shayne Gostisbehere","3","14","True"
"BOS","Haley Winn","Haley","Winn","D","3","43","1014","2572","6787","1830","Brandon Manning","3","9","False"
"BOS","Aerin Frankel","Aerin","Frankel","G","4","43","1010","537","1349","350","Jason LaBarbera","4","1","True"
"BOS","Abbey Levy","Abbey","Levy","G","4","43","1029","4482","11129","3569","Anthony Stolarz","4","35","True"
"BOS","Amanda Thiele","Amanda","Thiele","G","4","43","1028","4421","10993","3516","Connor Knapp","4","34","False"
"MIN","Peyton Anderson","Peyton","Anderson","F","0","37","846","1090","3147","709","Gergo Nagy","0","49","True"
"MIN","Claire Butorac","Claire","Butorac","F","1","37","847","1121","3212","729","Ben Eager","1","39","True"
"MIN","Britta Curl-Salemme","Britta","Curl-Salemme","F","1","37","849","2313","6332","1633","Magnus Paajarvi","1","23","True"
"MIN","Kendall Coyne Schofield","Kendall Coyne","Schofield","F","1","37","853","2997","8213","2210","Yannick Veilleux","1","18","True"
"MIN","Taylor Heise","Taylor","Heise","F","0","37","855","3021","8310","2231","Justin Hodgman","0","16","True"
"MIN","Abby Hustler","Abby","Hustler","F","2","37","859","3220","8790","2405","Jacob Doty","2","32","True"
"MIN","Klára Hymlárová","Klára","Hymlárová","F","2","37","860","3347","9126","2525","Ryan Tesink","2","19","True"
"MIN","Katy Knoll","Katy","Knoll","F","1","37","861","3392","9209","2563","Rob Bordson","1","27","True"
"MIN","Denisa Křížová","Denisa","Křížová","F","0","37","862","3855","10047","2995","Pat Cannone","0","12","True"
"MIN","Kelly Pannek","Kelly","Pannek","F","1","37","863","3859","10052","2999","Nathan Longpre","1","26","True"
"MIN","Dominique Petrie","Dominique","Petrie","F","0","37","864","4014","10350","3126","Jeremy Welsh","0","15","True"
"MIN","Vanessa Upson","Vanessa","Upson","F","2","37","866","4614","11331","3685","Terry Broadhurst","2","37","True"
"MIN","Grace Zumwinkle","Grace","Zumwinkle","F","2","37","850","2563","6756","1821","Cody Beach","2","20","False"
"MIN","Mae Batherson","Mae","Batherson","D","3","37","848","1174","3280","763","Brendan Bell","3","14","True"
"MIN","Brooke Becker","Brooke","Becker","D","3","37","851","2913","7763","2137","Mathieu Brodeur","3","5","True"
"MIN","Madison Bizal","Madison","Bizal","D","3","37","852","2939","7861","2158","Konrad Abeltshauser","3","11","True"
"MIN","Natalie Buchbinder","Natalie","Buchbinder","D","3","37","857","3126","8551","2322","Jani Hakanpaa","3","6","True"
"MIN","Kendall Cooper","Kendall","Cooper","D","3","37","858","3198","8721","2384","Joel Edmundson","3","3","True"
"MIN","Sidney Morin","Sidney","Morin","D","3","37","865","4517","11179","3600","Petteri Lindbohm","3","4","True"
"MIN","Lee Stecklein","Lee","Stecklein","D","3","37","868","6014","13008","5011","Jake Chelios","3","42","False"
"MIN","Marlène Boissonnault","Marlène","Boissonnault","G","4","37","856","3121","8528","2317","Niklas Lundstrom","4","31","True"
"MIN","Nicole Hensley","Nicole","Hensley","G","4","37","854","3012","8292","2223","Jordan Binnington","4","30","True"
"MIN","Maddie Rooney","Maddie","Rooney","G","4","37","869","6025","13020","5022","Pheonix Copley","4","33","False"
"MTL","Shiann Darkangelo","Shiann","Darkangelo","F","0","58","1369","1986","5716","1379","Greg Rallo","0","27","True"
"MTL","Jade Downie-Landry","Jade","Downie-Landry","F","0","58","1370","2354","6423","1660","Travis Morin","0","23","True"
"MTL","Catherine Dubois","Catherine","Dubois","F","1","58","1371","2486","6618","1762","Kevin Henderson","1","8","True"
"MTL","Dara Greig","Dara","Greig","F","0","58","1372","2553","6724","1811","Scott Glennie","0","15","True"
"MTL","Skylar Irving","Skylar","Irving","F","1","58","1373","2594","6846","1852","Brendan Ranford","1","19","True"
"MTL","Alexandra Labelle","Alexandra","Labelle","F","2","58","1374","2645","6987","1896","Taylor Peters","2","25","True"
"MTL","Natálie Mlýnková","Natálie","Mlýnková","F","1","58","1375","2683","7099","1931","Derek Hulak","1","39","True"
"MTL","Maureen Murphy","Maureen","Murphy","F","0","58","1376","2710","7164","1953","Justin Dowling","0","10","True"
"MTL","Marie-Philip Poulin","Marie-Philip","Poulin","F","2","58","1379","3216","8782","2401","Matej Stransky","2","28","True"
"MTL","Abby Roque","Abby","Roque","F","2","58","1380","3218","8787","2403","Branden Troock","2","11","True"
"MTL","Hayley Scamurra","Hayley","Scamurra","F","2","58","1386","3729","9815","2871","Radek Faksa","2","29","True"
"MTL","Laura Stacey","Laura","Stacey","F","1","58","1390","5253","12117","4277","Curtis McKenzie","1","16","True"
"MTL","Kaitlin Willoughby","Kaitlin","Willoughby","F","2","58","1378","2872","7625","2100","Brett Ritchie","2","20","False"
"MTL","Erin Ambrose","Erin","Ambrose","D","3","58","1368","1379","3714","924","Maxime Fortunus","3","18","True"
"MTL","Amanda Boulier","Amanda","Boulier","D","3","58","1377","2820","7491","2051","Scott Valentine","3","22","True"
"MTL","Maggie Flaherty","Maggie","Flaherty","D","3","58","1385","3442","9278","2603","Jamie Oleksiak","3","6","True"
"MTL","Jessica Digirolamo","Jessica","Digirolamo","D","3","58","1388","4370","10937","3469","Matt Mangene","3","26","True"
"MTL","Nicole Gosling","Nicole","Gosling","D","3","58","1389","5048","11837","4082","Julius Honka","3","7","True"
"MTL","Kelly-Ann Nadeau","Kelly-Ann","Nadeau","D","3","58","1391","5350","12273","4369","Mike Dalhuisen","3","13","True"
"MTL","Kati Tabin","Kati","Tabin","D","3","58","1384","3425","9257","2588","William Wrenn","3","2","False"
"MTL","Sandra Abstreiter","Sandra","Abstreiter","G","4","58","1382","3315","8985","2494","Jack Campbell","4","1","True"
"MTL","Ann-Renée Desbiens","Ann-Renée","Desbiens","G","4","58","1387","4035","10382","3145","Henri Kiviaho","4","32","True"
"MTL","Megan Warrener","Megan","Warrener","G","4","58","1383","3340","9085","2518","Maxime Lagace","4","33","False"
"NY","Anna Bargman","Anna","Bargman","F","0","39","898","1210","3326","786","Ryan Potulny","0","22","True"
"NY","Anne Cherkowski","Anne","Cherkowski","F","1","39","899","1222","3339","791","Nick Tarnasky","1","74","True"
"NY","Emmy Fecteau","Emmy","Fecteau","F","2","39","900","1354","3677","905","Joey Crabb","2","14","True"
"NY","Sarah Fillier","Sarah","Fillier","F","2","39","902","2364","6433","1668","Carl Klingberg","2","48","True"
"NY","Taylor Girard","Taylor","Girard","F","0","39","903","2381","6465","1682","Oscar Lindberg","0","24","True"
"NY","Elle Hartje","Elle","Hartje","F","0","39","912","2917","7775","2141","Luke Adam","0","72","True"
"NY","Kristýna Kaltounková","Kristýna","Kaltounková","F","2","39","913","2949","7910","2168","Marek Hrivik","2","15","True"
"NY","Paetyn Levis","Paetyn","Levis","F","1","39","914","2970","7994","2185","Ryan Bourque","1","9","True"
"NY","Savannah Norcross","Savannah","Norcross","F","1","39","915","3014","8294","2225","Tyler Brown","1","18","True"
"NY","Casey O'Brien","Casey","O'Brien","F","0","39","918","4402","10974","3500","Jayson Megna","0","19","True"
"NY","Kristin O'Neill","Kristin","O'Neill","F","1","39","919","4636","11355","3706","Matt Lindblad","1","10","True"
"NY","Kayla Vespa","Kayla","Vespa","F","2","39","920","4664","11384","3733","Shawn O'Donnell","2","21","True"
"NY","Maddi Wheeler","Maddi","Wheeler","F","2","39","907","2687","7102","1933","Josh Nicholls","2","49","False"
"NY","Lauren Bernard","Lauren","Bernard","D","3","39","905","2604","6880","1861","Dallas Jackson","3","20","True"
"NY","Jaime Bourbonnais","Jaime","Bourbonnais","D","3","39","906","2636","6971","1889","Dylan McIlrath","3","8","True"
"NY","Maja Nylén Persson","Maja Nylén","Persson","D","3","39","908","2797","7418","2028","Tommy Hughes","3","5","True"
"NY","Jincy Roese","Jincy","Roese","D","3","39","911","2909","7745","2133","Samuel Noreau","3","6","True"
"NY","Allyson Simpson","Allyson","Simpson","D","3","39","923","5215","12070","4243","Steve Spinell","3","44","True"
"NY","Nicole Vallario","Nicole","Vallario","D","3","39","924","6022","13017","5019","Mat Bodie","3","2","True"
"NY","Micah Zandee-Hart","Micah","Zandee-Hart","D","3","39","904","2574","6797","1832","Michael St. Croix","0","37","False"
"NY","Kaley Doyle","Kaley","Doyle","G","4","39","917","3916","10156","3039","Magnus Hellberg","4","45","True"
"NY","Kayle Osborne","Kayle","Osborne","G","4","39","901","1735","4610","1167","Cedrick Desjardins","4","30","True"
"NY","Callie Shanahan","Callie","Shanahan","G","4","39","909","2844","7571","2073","Jason Missiaen","4","31","False"
"OTT","Emily Clark","Emily","Clark","F","0","52","1223","2590","6838","1848","Colin Smith","0","37","True"
"OTT","Peyton Hemp","Peyton","Hemp","F","0","52","1225","2620","6933","1876","Reid Petryk","0","4","True"
"OTT","Taylor House","Taylor","House","F","2","52","1229","2726","7222","1966","Tomas Vincour","2","81","True"
"OTT","Gabbie Hughes","Gabbie","Hughes","F","1","52","1231","2811","7451","2042","Andrew Agozzino","1","18","True"
"OTT","Brianne Jenner","Brianne","Jenner","F","2","52","1234","2848","7577","2076","Garrett Meurs","2","36","True"
"OTT","Fanuza Kadirova","Fanuza","Kadirova","F","2","52","1236","2893","7699","2120","Kenny Ryan","2","17","True"
"OTT","Rebecca Leslie","Rebecca","Leslie","F","0","52","1237","2942","7887","2161","Samuel Henley","0","42","True"
"OTT","Mannon McMahon","Mannon","McMahon","F","1","52","1240","3179","8661","2365","Trevor Cheek","1","39","True"
"OTT","Anna Meixner","Anna","Meixner","F","0","52","1241","3209","8752","2394","Troy Bourke","0","14","True"
"OTT","Kateřina Mrázová","Kateřina","Mrázová","F","0","52","1242","3289","8944","2470","Mitchell Heard","0","51","True"
"OTT","Anna Shokhina","Anna","Shokhina","F","0","52","1243","3591","9582","2738","Ben Street","0","10","True"
"OTT","Alexa Vasko","Alexa","Vasko","F","1","52","1244","3780","9893","2921","Michael Schumacher","1","24","True"
"OTT","Sarah Wozniewicz","Sarah","Wozniewicz","F","0","52","1232","2812","7452","2043","Freddie Hamilton","0","12","False"
"OTT","Rory Guilday","Rory","Guilday","D","3","52","1222","1591","4268","1063","Maxim Noreau","3","26","True"
"OTT","Brooke Hobson","Brooke","Hobson","D","3","52","1227","2692","7113","1938","Stefan Elliott","3","46","True"
"OTT","Sam Isbell","Sam","Isbell","D","3","52","1230","2751","7300","1987","Mat Clark","3","2","True"
"OTT","Jocelyne Larocque","Jocelyne","Larocque","D","3","52","1246","3880","10084","3013","Ben Youds","3","29","True"
"OTT","Stephanie Markowski","Stephanie","Markowski","D","3","52","1247","4087","10468","3195","Cody Corbett","3","41","True"
"OTT","Kathryn Reilly","Kathryn","Reilly","D","3","52","1248","4608","11325","3679","Markus Lauridsen","3","11","True"
"OTT","Ronja Savolainen","Ronja","Savolainen","D","3","52","1224","2610","6901","1867","Joey Leach","3","5","False"
"OTT","Sanni Ahola","Sanni","Ahola","G","4","52","1228","2698","7140","1943","Calvin Pickard","4","31","True"
"OTT","Gwyneth Philips","Gwyneth","Philips","G","4","52","1239","3089","8461","2289","Sami Aittokallio","4","74","True"
"OTT","Kendra Woodland","Kendra","Woodland","G","4","52","1245","3816","9977","2957","Roman Will","4","34","False"
"SEA","Lexie Adzija","Lexie","Adzija","F","0","53","1250","1218","3337","789","David Steckel","0","39","True"
"SEA","Hannah Bilka","Hannah","Bilka","F","1","53","1252","1642","4352","1100","Steve MacIntyre","1","33","True"
"SEA","Brooke Bryant","Brooke","Bryant","F","0","53","1253","2132","5979","1480","Chris Mueller","0","42","True"
"SEA","Jenna Buglioni","Jenna","Buglioni","F","0","53","1255","2771","7356","2004","Charles Sarault","0","17","True"
"SEA","Alex Carpenter","Alex","Carpenter","F","0","53","1256","2801","7428","2032","Joseph Cramarossa","0","19","True"
"SEA","Lily Delianedis","Lily","Delianedis","F","2","53","1257","2847","7576","2075","Stefan Noesen","2","11","True"
"SEA","Jessie Eldridge","Jessie","Eldridge","F","0","53","1258","2852","7583","2080","Robert Czarnik","0","32","True"
"SEA","Julia Gosling","Julia","Gosling","F","0","53","1260","2867","7608","2095","Mike Sgarbossa","0","18","True"
"SEA","Mikyla Grant-Mentis","Mikyla","Grant-Mentis","F","1","53","1265","3565","9554","2717","Harry Zolnierczyk","1","29","True"
"SEA","Hilary Knight","Hilary","Knight","F","1","53","1266","3923","10177","3046","Max Friberg","1","14","True"
"SEA","Danielle Serdachny","Danielle","Serdachny","F","2","53","1269","6034","13032","5031","Matt Bailey","2","10","True"
"SEA","Natalie Snodgrass","Natalie","Snodgrass","F","1","53","1270","6035","13033","5032","Nic Kerdiles","1","8","True"
"SEA","Marah Wagner","Marah","Wagner","F","4","53","1267","5214","12069","4242","Josh Watson","4","40","False"
"SEA","Cayla Barnes","Cayla","Barnes","D","3","53","1249","55","55","33","Nathan McIver","3","6","True"
"SEA","Emily Brown","Emily","Brown","D","3","53","1254","2556","6734","1814","Colby Robak","3","23","True"
"SEA","Megan Carter","Megan","Carter","D","3","53","1262","2987","8198","2201","Kevin Gagne","3","5","True"
"SEA","Mariah Keopple","Mariah","Keopple","D","3","53","1263","3327","9024","2505","Andrew O'Brien","3","25","True"
"SEA","Lyndie Lobdell","Lyndie","Lobdell","D","3","53","1268","5511","12500","4524","Josh Manson","3","3","True"
"SEA","Aneta Tejralová","Aneta","Tejralová","D","3","53","1272","6200","13223","5193","Jaycob Megna","3","24","True"
"SEA","Anna Wilgren","Anna","Wilgren","D","3","53","1251","1498","3952","1002","Joe Piskula","3","7","False"
"SEA","Carly Jackson","Carly","Jackson","G","4","53","1259","2859","7595","2087","Matt Hackett","4","31","True"
"SEA","Hannah Murphy","Hannah","Murphy","G","4","53","1261","2958","7928","2174","Etienne Marcoux","4","30","True"
"SEA","Corinne Schroeder","Corinne","Schroeder","G","4","53","1264","3526","9490","2685","John Gibson","4","36","False"
"TOR","Jesse Compher","Jesse","Compher","F","1","59","1394","1594","4275","1065","Rich Clune","1","13","True"
"TOR","Maggie Connors","Maggie","Connors","F","0","59","1398","2582","6818","1840","Byron Froese","0","54","True"
"TOR","Claire Dalton","Claire","Dalton","F","1","59","1399","2735","7241","1972","Stefan Della Rovere","1","18","True"
"TOR","Clair DeGeorge","Clair","DeGeorge","F","0","59","1400","2748","7287","1984","Sam Carrick","0","16","True"
"TOR","Emma Gentry","Emma","Gentry","F","1","59","1405","3200","8726","2386","Brendan Leipsic","1","41","True"
"TOR","Sara Hjalmarsson","Sara","Hjalmarsson","F","2","59","1409","3310","8974","2489","Josh Leivo","2","14","True"
"TOR","Emma Maltais","Emma","Maltais","F","2","59","1412","3443","9281","2604","Matt Frattin","2","39","True"
"TOR","Natalie Spooner","Natalie","Spooner","F","0","59","1413","3496","9424","2656","Ryan Rupert","0","20","True"
"TOR","Blayre Turnbull","Blayre","Turnbull","F","2","59","1414","3711","9785","2853","Connor Brown","2","29","True"
"TOR","Clara Van Wieren","Clara Van","Wieren","F","2","59","1415","3724","9806","2866","Patrick Watling","2","21","True"
"TOR","Daryl Watts","Daryl","Watts","F","0","59","1417","4401","10973","3499","Denver Manderson","0","44","True"
"TOR","Emma Woods","Emma","Woods","F","1","59","1421","6202","13226","5195","Casey Bailey","1","37","True"
"TOR","Kiara Zanon","Kiara","Zanon","F","1","59","1404","3081","8445","2282","Peter Sivak","1","59","False"
"TOR","Renata Fast","Renata","Fast","D","3","59","1396","2401","6492","1696","T.J. Brennan","3","3","True"
"TOR","Kali Flanagan","Kali","Flanagan","D","3","59","1397","2439","6562","1731","Kevin Marshall","3","26","True"
"TOR","Savannah Harmon","Savannah","Harmon","D","3","59","1401","2795","7415","2027","Scott Harrington","3","6","True"
"TOR","Anna Kjellbin","Anna","Kjellbin","D","3","59","1402","2806","7440","2037","Stuart Percy","3","10","True"
"TOR","Jess Kondas","Jess","Kondas","D","3","59","1407","3249","8871","2433","Matt Finn","3","7","True"
"TOR","Allie Munroe","Allie","Munroe","D","3","59","1419","4562","11257","3643","Viktor Loov","3","50","True"
"TOR","Ella Shelton","Ella","Shelton","D","3","59","1395","2133","5981","1481","Andrew Campbell","3","2","False"
"TOR","Elaine Chuli","Elaine","Chuli","G","4","59","1403","2919","7786","2143","Christopher Gibson","4","33","True"
"TOR","Raygan Kirk","Raygan","Kirk","G","4","59","1416","3819","9981","2960","Antoine Bibeau","4","1","True"
"TOR","Jessie McPherson","Jessie","McPherson","G","4","59","1406","3247","8869","2431","Garret Sparks","4","40","False"
"VAN","Abby Boreen","Abby","Boreen","F","1","46","1083","1392","3736","935","David Van der Gulik","1","14","True"
"VAN","Michela Cava","Michela","Cava","F","1","46","1084","1505","3972","1009","Paul Bissonnette","1","15","True"
"VAN","Katie Chan","Katie","Chan","F","0","46","1085","2675","7077","1923","Jordan Weal","0","19","True"
"VAN","Izzy Daniel","Izzy","Daniel","F","1","46","1086","2781","7381","2014","Andrew Crescenzi","1","21","True"
"VAN","Jenn Gardiner","Jenn","Gardiner","F","2","46","1090","3279","8918","2460","Scott Sabourin","2","25","True"
"VAN","Michelle Karvinen","Michelle","Karvinen","F","2","46","1092","3319","8997","2498","Zach O'Brien","2","10","True"
"VAN","Darcie Lappan","Darcie","Lappan","F","2","46","1093","3418","9245","2583","Sean Backman","2","16","True"
"VAN","Brooke McQuigge","Brooke","McQuigge","F","2","46","1096","3717","9795","2859","Justin Auger","2","39","True"
"VAN","Hannah Miller","Hannah","Miller","F","1","46","1097","3722","9801","2864","Ryan Horvat","1","24","True"
"VAN","Sarah Nurse","Sarah","Nurse","F","2","46","1098","4383","10952","3482","Brian O'Neill","2","22","True"
"VAN","Gabby Rosenthal","Gabby","Rosenthal","F","0","46","1101","6029","13026","5026","Nic Dowd","0","26","True"
"VAN","Anna Segedi","Anna","Segedi","F","1","46","1103","6031","13028","5028","Michael Mersch","1","27","True"
"VAN","Tereza Vanišová","Tereza","Vanišová","F","1","46","1094","3426","9258","2589","Maxim Kitsyn","1","48","False"
"VAN","Sydney Bard","Sydney","Bard","D","3","46","1081","81","85","52","Jeff Schultz","3","55","True"
"VAN","Ashton Bell","Ashton","Bell","D","3","46","1089","3178","8651","2364","Alex Roach","3","41","True"
"VAN","Mellissa Channell-Watkins","Mellissa","Channell-Watkins","D","3","46","1091","3316","8989","2495","Nick Ebert","3","23","True"
"VAN","Emma Greco","Emma","Greco","D","3","46","1099","4632","11350","3702","Derek Forbort","3","3","True"
"VAN","Sophie Jaques","Sophie","Jaques","D","3","46","1100","4686","11408","3752","Vincent LoVerde","3","5","True"
"VAN","Madison Samoskevich","Madison","Samoskevich","D","3","46","1102","6030","13027","5027","Kevin Gravel","3","57","True"
"VAN","Claire Thompson","Claire","Thompson","D","3","46","1082","1191","3297","775","Josh Gratton","1","13","False"
"VAN","Kristen Campbell","Kristen","Campbell","G","4","46","1095","3656","9693","2800","Patrik Bartosak","4","30","True"
"VAN","Emerance Maschmeyer","Emerance","Maschmeyer","G","4","46","1087","2912","7762","2136","Olivier Roy","4","31","True"
"VAN","Kimberly Newell","Kimberly","Newell","G","4","46","1088","2957","7927","2173","Jean-Francois Berube","4","1","False"
